"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,41794.35,41794.35,41794.35,41794.35,41794.35,41794.35,41794.35
"2",2023,40927.7,40927.7,41835.35,42518.95,43028.15,40483.55,40927.7
"3",2024,35654.7,35654.7,40292.55,44390.4,47763.55,33616.65,35654.7
"4",2025,34205.4,34205.4,40281.1,46760.3,52920,31856.9,33918.5
"5",2026,36423.45,36423.45,43092.7,51409.5,60111.5,34029.15,34885.75
"6",2027,40043.55,40043.55,47393.1,57824.5,68972.5,37495.85,37756.2
"7",2028,42657.25,42657.25,51246,64009.5,77511.5,39833.75,39854.45
"8",2029,44049.6,44049.6,54534.5,69680,85744,40928.7,40899.45
"9",2030,44448.6,44448.6,56724,73861.5,92221,41162.5,41139
"10",2031,44546.35,44546.35,58271,77155,97728.5,41183.8,41173
"11",2032,44570.4,44570.4,59359.5,79729,102377.5,41179.5,41176.25
"12",2033,44526.05,44526.05,59960,81373.5,105664,41141.2,41141.35
"13",2034,44495.9,44495.9,60293,82424.5,107987,41121.4,41122.15
"14",2035,44484.6,44484.6,60478.5,83096,109629.5,41116.25,41116.75
"15",2036,44482.7,44482.7,60582,83525.5,110790.5,41116.65,41116.8
"16",2037,44483.65,44483.65,60639.5,83799.5,111611,41117.85,41117.85
